category_en,category_he,diagnosis_type_en,diagnosis_type_he,difficulty_description_en,difficulty_description_he,difficulty_tags_en,recommendation_en,recommendation_he,example_en,example_he,contribution_en,contribution_he,source,example_is_array
environment,סביבה,Impulsivity,אימפולסיביות ,Difficulty with self-regulation and setting personal goals,קושי בוויסות עצמי ובהצבת מטרות אישיות,restlessness,Collaborate with parents to set goals and regularly monitor progress.,שיתוף פעולה עם ההורים בהצבת מטרות ומעקב קבוע אחרי התקדמות,Weekly goal-setting meetings with parents and teacher,פגישות שבועיות עם ההורים והמורה לקביעת מטרות,Improves alignment between home and school goals,משפר תאום בין מטרות הבית ובית הספר,https://www.semanticscholar.org/paper/Clinical-practice-guideline%3A-treatment-of-the-child-Attention-Deficit-Disorder/2cbc61d4b1d66ae625cffa7528d8af4e84f8f773,text
environment,סביבה,Impulsivity,אימפולסיביות ,Needs clear structure and motivation to demonstrate positive behavior,זקוק למבנה ברור ומוטיבציה להצגת התנהגות חיובית,"positive reinforcement, motivation, restlessness,  energy, behavioral reinforcement,","
Provide positive reinforcement for desirable behavior, reduce workload, and allow flexibility in exams – accommodations

","מתן חיזוקים חיוביים בעת הצגת התנהגות רצויה,  צמצום מטלות, גמישות בבחינות – התאמות  ",Sticker chart for completing homework and behaving well in class,טבלת מדבקות עבור סיום שיעורי בית והתנהגות טובה בכיתה,Boosts motivation and clear expectations,מגביר מוטיבציה וציפיות ברורות,https://www.semanticscholar.org/paper/Clinical-practice-guideline%3A-treatment-of-the-child-Attention-Deficit-Disorder/2cbc61d4b1d66ae625cffa7528d8af4e84f8f773,text
environment,סביבה,Impulsivity,אימפולסיביות ,"feedback sensitivity, behavior boundaries",קושי בהבנת השלכות וגבולות התנהגות,"behavior boundaries, behavioral reinforcement, desk_bag_organization","Use reward management and consistent disciplinary methods (e.g., time-out)
Star/point-based reward system (Token Economy)"," ניהול תגמולים, שיטות ענישה עקביות (כגון Time-Out)

מערכת תגמול מבוססת כוכבים/נקודות (Token Economy)","
When a child hits a sibling impulsively, they are given a consistent consequence such as sitting quietly in a designated area for 5 minutes. In addition, the child earns stars for positive behaviors like completing tasks and loses stars for inappropriate behaviors like leaving their seat. At the end of the week, the stars can be exchanged for a preferred reward.","כאשר ילד מכה את אחיו באימפולסיביות, הוא מקבל תוצאה עקבית כמו ישיבה שקטה באזור ייעודי במשך 5 דקות. בנוסף, הילד מרוויח כוכבים על התנהגויות חיוביות כמו סיום משימות, ומאבד כוכבים על התנהגויות לא הולמות כמו קימה מהמקום. בסוף השבוע, ניתן להמיר את הכוכבים שנצברו בפרס מועדף.","
Promotes behavioral regulation by providing clear expectations, immediate feedback, and consistent consequences. Helps children internalize the connection between actions and outcomes, thereby improving impulse control.","
תורמת לוויסות התנהגותי באמצעות יצירת ציפיות ברורות, מתן משוב מיידי ותגובה עקבית. מסייעת לילדים להבין את הקשר בין פעולה לתוצאה, ובכך משפרת שליטה עצמית ואינהיביציה.",https://www.semanticscholar.org/paper/Clinical-practice-guideline%3A-treatment-of-the-child-Attention-Deficit-Disorder/2cbc61d4b1d66ae625cffa7528d8af4e84f8f773,text
environment,סביבה,Impulsivity,אימפולסיביות ,Needs consistent behavior monitoring and communication between school and home,זקוק למעקב עקבי ודיווח על התנהגות בין בית הספר לבית,"restlessness, desk_bag_organization","
Using a Daily Report Card to connect behavior at home and school.
Provide consistent rewards for classroom behavior + daily reports to parents.","שימוש ב־Daily Report Card כדי לחבר בין ההתנהגות בבית לבית הספר

תגמול עקבי על התנהגות בכיתה + דיווח יומי להורים",Child receives a daily report card signed by teacher and parent,הילד מקבל כרטיס דיווח יומי שחותם עליו המורה וההורה,Promotes communication and shared responsibility,מעודד תקשורת ואחריות משותפת,https://www.semanticscholar.org/paper/Clinical-practice-guideline%3A-treatment-of-the-child-Attention-Deficit-Disorder/2cbc61d4b1d66ae625cffa7528d8af4e84f8f773,text
environment,סביבה,Impulsivity,אימפולסיביות ,Requires continuous support in evaluating treatment response and progress,דורש תמיכה מתמשכת בהערכת תגובה לטיפול והתקדמות,restlessness,"Holding regular follow-up meetings, recording goals, treatment responses, and side effects.","קיום פגישות מעקב תקופתיות, רישום מטרות, תגובות לטיפול ותופעות לוואי",Monthly meetings to assess behavior goals and treatment response,פגישות חודשיות להערכת מטרות התנהגות ותגובה לטיפול,Ensures adaptation and ongoing evaluation of support,מבטיח התאמה והערכה שוטפת של התמיכה,https://www.semanticscholar.org/paper/Clinical-practice-guideline%3A-treatment-of-the-child-Attention-Deficit-Disorder/2cbc61d4b1d66ae625cffa7528d8af4e84f8f773,text
environment,סביבה,Impulsivity,אימפולסיביות ,Struggles with self-regulation and understanding of consequences,קושי בוויסות עצמי ובהבנת השלכות שליליות,consequence understanding,"Revoking privileges following negative behavior
Withdraw positive reinforcement following negative behavior
","שלילת פריבילגיות בעקבות התנהגות שלילית

הפסקת חיזוק חיובי בעקבות התנהגות שלילית
",Loss of break time for repeated outbursts,שלילת זמן הפסקה בעקבות התפרצויות חוזרות,Teaches behavioral accountability,מלמד אחריות להתנהגות,https://www.semanticscholar.org/paper/Clinical-practice-guideline%3A-treatment-of-the-child-Attention-Deficit-Disorder/2cbc61d4b1d66ae625cffa7528d8af4e84f8f773,text
environment,סביבה,Impulsivity,אימפולסיביות ,Needs clear expectations and structure to support behavior adherence,זקוק לציפיות ברורות ומבנה לתמיכה בעמידה בחוקים,desk_bag_organization,Creating an environment with clear rules and rewards for compliance,יצירת סביבה עם חוקים ברורים ותגמול על ביצועם,Visual rules chart in class and reward for adherence,טבלת כללים חזותית בכיתה ותגמול על עמידה בהם,Encourages rule-following through visual and tangible reinforcement,מעודד עמידה בחוקים באמצעות חיזוקים חזותיים ומוחשיים,https://www.semanticscholar.org/paper/Clinical-practice-guideline%3A-treatment-of-the-child-Attention-Deficit-Disorder/2cbc61d4b1d66ae625cffa7528d8af4e84f8f773,text
environment,סביבה,Inattention,חוסר קשב,"Loses focus easily, especially with visual distractions","מאבד ריכוז בקלות, במיוחד מגירויים חזותיים"," seating strategy,  visual/auditory distraction, noise_movement_distraction, maintain_focus_lessons, seating location",Seat at front of class with minimal visual distractions,ישיבה בקדמת הכיתה עם מעט גירויים ויזואליים,"Desk facing the teacher, away from windows or doors","שולחן מול המורה, רחוק מהחלון או דלת",Helps focus attention and reduce distractions,מסייע למיקוד הקשב ומפחית הסחות דעת ,,text
environment,סביבה,Inattention,חוסר קשב,Needs help starting and focusing on tasks,קושי להתחיל משימות ולהתמקד,"visual/auditory distraction, teacher support, maintain_focus_lessons",Personal address from the teacher before tasks,פנייה אישית מהמחנך בתחילת כל משימה,"""Ron, pay attention, we're starting on page 27""","""רון, שים לב, אנחנו מתחילים עכשיו בעמוד 27""",Boosts engagement and focus,מעלה את המעורבות ואת המיקוד שלו ,,text
environment,סביבה,Hyperactive,היפרקאקטביות ,"Excessive motor activity, difficulty staying seated","פעילות יתר, קושי להישאר ישוב","movement breaks, seating strategy, visual/auditory distraction, noise_movement_distraction, seating_difficulty, Allow_movement, seating location",Allow purposeful movement during class,לאפשר תנועה מכוונת במהלך השיעור,Seat near the trash can to allow pencil sharpening without disturbing others,מושב ליד הפח כדי שיוכל לגשת לחדד עיפרון מבלי להפריע לאחרים,Reduces outbursts and provides controlled release,מפחית התפרצויות ומספק שחרור אנרגיה בצורה מבוקרת,,text
environment,סביבה,Hyperactive,היפרקאקטביות ,Needs frequent physical activity,זקוק לפעילות פיזית תכופה,"energy release, movement breaks, seating strategy, noise_movement_distraction, seating_difficulty, Allow_movement, seating location",Place the child near areas of permitted movement,הצבת הילד בשולחן ליד אזור פעילות,Near bookshelves or task corners to allow subtle movement,"ליד מדפים, פינה עם מטלות, או חלון",Provides a calm escape space within the classroom,"מאפשר סוג של ""בריחה רגועה"" בתוך המסגרת של הכיתה",,text
environment,סביבה,Impulsivity,אימפולסיביות ,Difficulty with self-regulation and control,קושי בוויסות ושליטה עצמית,"peer support, restlessness, seating strategy, visual/auditory distraction, noise_movement_distraction, seating_difficulty, seating location",Seat with calm peers for co-regulation,ישיבה עם תלמידים רגועים שעוזרים בוויסות,Near a mature student or helper,ליד תלמיד בוגר או מסייע,Reduces impulsive responses,מפחית תגובות אימפולסיביות ,,text
environment,סביבה,Impulsivity,אימפולסיביות ,Gets easily distracted by movement and stimuli,הסחת דעת קלה מתנועות וגירויים,"visual/auditory distraction, seating strategy, noise_movement_distraction, seating_difficulty, seating location",Avoid seating near exits or hallways,לא לשבת ליד הדלת או המעברים,Seat away from doorways and main paths,שולחן רחוק מדלתות ונתיבי מעבר,Creates a low-stimulation environment,מייצר סביבה פחותת גירויים ,,text
