category_en,category_he,diagnosis_type_en,diagnosis_type_he,difficulty_description_en,difficulty_description_he,difficulty_tags_en,recommendation_en,recommendation_he,example_en,example_he,contribution_en,contribution_he,source,example_is_array
Physical Activity,פעילות גופנית,Combined,משולב,Difficulty maintaining attention for extended periods and switching between tasks,קושי בשמירה על קשב לאורך זמן ומעבר בין משימות,movement_during_class,High Intensity Interval Training (HIIT),אימון אינטרוולים בעצימות גבוהה,"Short, intense bursts of running/jumping between class periods",ריצות/קפיצות קצרות בין שיעורים,"Rapid improvement in attention, concentration, and motor performance","שיפור מהיר בריכוז, תשומת לב ותפקוד מוטורי",Ghahramani et al. (2016),text
Physical Activity,פעילות גופנית ,Combined,משולב,Difficulty in planning and managing daily activities; struggles with initiating and completing tasks.        ,"קושי בתכנון ובניהול פעילויות יומיומיות; מתקשה להתחיל ולסיים משימות.
","post_activity_focus, post_workout_up",Scheduling physical activities as part of daily routine	,שלב הפסקות תנועה לניהול היפראקטיביות,Scheduling physical activities as part of daily routine        ,"שילוב פעילויות גופניות כחלק משגרת היום
",Most effective in reducing hyperactivity and supporting daily task completion        ,הפחתת היפראקטיביות ותמיכה בהשלמת משימות יומיות        ,get_tips,text
Physical Activity,פעילות גופנית ,Hyperactivity,היפרקאקטביות ,Difficulty sitting still and following routines; frequent movement or restlessness in class or at home.        ,קושי לשבת במקום או לפעול לפי שגרה; תנועתיות או חוסר שקט בכיתה/בבית.	,"post_activity_focus, movement_during_class, post_workout_up",Including movement breaks throughout the school day	,הפסקות תנועה במהלך היום לניהול אנרגיה,Movement-based games between activities        ,משחקי תנועה בין משימות/פעילויות,Reduces restlessness and helps maintain attention in class        ,מפחית חוסר שקט ותורם לקשב ,get_tips,text
Physical Activity,פעילות גופנית ,Combined,משולב,Difficulty focusing during activities that require both thinking and movement; loses attention easily.        ,קושי להתרכז בפעילויות שמשלבות חשיבה ותנועה; מוסחות גבוהה במהלך פעילויות כאלה.        ,cognitive_physical_difficulty,Cognitive-aerobic exercise,אימון אירובי-קוגניטיבי,Interactive dance video games        ,משחקי ריקוד אינטראקטיביים        ,Most significant improvement in working memory (SMD = 0.72)        ,השפעה הגבוהה ביותר על שיפור זיכרון העבודה,"Song et al., 2024",text
Physical Activity,פעילות גופנית ,Combined,משולב,Difficulty working with others and following group rules; struggles to cooperate in team activities.        ,קושי בשיתוף פעולה עם אחרים ושמירה על כללי קבוצה; קושי בעבודת צוות.        ,teamwork_challenges,Ball sports,משחקי כדור,"Soccer, basketball, structured team sports        ","כדורגל, כדורסל, משחקי שדה קבוצתיים",Moderate-to-high improvement in working memory (SMD = 0.61)        ,שיפור משמעותי בזיכרון העבודה באמצעות פעילות חברתית ודינאמית,"Song et al., 2024",array
Physical Activity,פעילות גופנית ,Inattention,חוסר קשב,Difficulty concentrating during quiet activities; struggles to finish tasks that require sustained focus.        ,קושי להתרכז בפעילויות שקטות; מתקשה להשלים משימות שדורשות התמדה וריכוז.        ,"low_energy, movement_during_class",Mind-body exercises,תרגול גוף-נפש,"Yoga, Tai Chi, mindfulness        ","יוגה, טאי צ'י, מדיטציה בתנועה",Moderate improvement in working memory (SMD = 0.50)        ,"השפעה בינונית, בעיקר על רגיעה וקשב","Song et al., 2024",array
Physical Activity,פעילות גופנית ,Inattention,חוסר קשב,Difficulty maintaining focus in calm activities or during relaxation; easily distracted and daydreams.        ,קושי לשמור על קשב בפעילויות רגועות או בזמן מנוחה; מוסחות ונטייה לחלום בהקיץ.        ,"low_energy, physical_engagement_level",Interactive games,משחקים אינטראקטיביים,"Video games with movement (Kinect), social games        ","משחקי וידאו עם תנועה, Kinect, משחקים מרובי משתתפים","Moderate effect on working memory, especially for engagement        ",שיפור בינוני בזיכרון העבודה עם דגש על שיתוף פעולה,"Song et al., 2024",text
Physical Activity,פעילות גופנית ,Hyperactivity,היפרקאקטביות ,Frequent fidgeting or difficulty staying in one place; needs movement and changes activities often.        ,תנועתיות רבה או קושי להישאר במקום אחד; צורך בתנועה וריבוי מעברים בין פעילויות.        ,movement_during_class,General aerobic exercise,אירובי כללי,"Riding a bike, walking, fitness games	","ריצה, רכיבה על אופניים, הליכה מהירה",Small improvement in working memory (SMD = 0.40)        ,שיפור קל בזיכרון העבודה ובמעברים בין משימות	,"Song et al., 2024",array
Physical Activity,פעילות גופנית ,Combined,משולב,Struggles with organizing time and prioritizing tasks; misses deadlines or forgets assignments.	,קושי בארגון זמן ובקביעת סדרי עדיפויות; שוכח מטלות ומפספס מועדים.        , time orientation,Aerobic Exercise,אימון אירובי,"Running, swimming, skipping	","ריצה, שחייה, קפיצה",Moderate-to-large effect on executive functions	,השפעה מתונה עד גבוהה על תפקודים ניהוליים כולל גמישות קוגניטיבית ושליטה מעכבת,"Liang et al., 2021",array
Physical Activity,פעילות גופנית ,Combined,משולב,Difficulty staying engaged in activities over time; loses interest or becomes distracted easily.	,קושי בהתמדה בפעילויות לאורך זמן; מאבד עניין או מוסח בקלות.        , time orientation,Cognitively Engaging Exercise (CEE),אימון מעורב קוגניטיבית,"Exergaming, soccer, yoga	","אקסרגיימינג, משחקי כדור, יוגה",Moderate-to-large effects on all EF domains	,השפעה בינונית עד גבוהה על כל תחומי התפקוד הניהולי	,"Liang et al., 2021",array
Physical Activity,פעילות גופנית ,Impulsivity,אימפולסיביות ,"Acts without thinking, interrupts others, or blurts out answers; struggles to wait for their turn.	","פועל ללא מחשבה, מפריע לאחרים או מתפרץ בתשובות; מתקשה להמתין לתורו.	",post_workout_up,Chronic Exercise,אימון כרוני,"Regular fitness program, 2–3 times per week	","תוכנית כושר קבועה, 2–3 פעמים בשבוע	",Stronger effects than acute exercise on executive functions	,השפעה משמעותית יותר לעומת פעילות יחידה על תפקודים ניהוליים,"Liang et al., 2021",text
Physical Activity,פעילות גופנית ,Impulsivity,אימפולסיביות ,Difficulty controlling actions in group activities; often breaks rules or fails to follow instructions.,קושי בשליטה בהתנהגות בפעילויות קבוצתיות; מפר לעיתים חוקים או מתקשה להישמע להוראות.        ,"group_behavior_difficulty, physical_engagement_level",Moderate Intensity Exercise,אימון בעוצמה בינונית,"Circuit training, group fitness games	","תחנות אימון, משחקי כושר קבוצתיים	",Most effective compared to light/vigorous for improving self-control	,הכי יעיל בהשוואה לעוצמה נמוכה או גבוהה לשיפור שליטה עצמית,"Liang et al., 2021",text
